Round,Tick,Player,PlayerPosition,Velocity
1,664,dennis,"""-298.7359313964844,1250.7806396484375,80.85037231445312""","""8.126521110534668,-249.86788940429688,0"""
1,664,wenton,"""-216.51988220214844,1174.50048828125,0.03125""","""14.334695816040039,-249.5886688232422,0"""
1,664,TaZ g2a.com,"""-2142.486083984375,-499.25640869140625,-140.43124389648438""","""-30.646041870117188,248.11453247070312,0"""
1,664,Snax g2a.com,"""-2947.233642578125,-631.2479248046875,1.2856342792510986""","""-201.6254425048828,147.80792236328125,0"""
1,665,olofmeister,"""-297.7757568359375,1065.290771484375,128.03125""","""-9.56801986694336,-249.81683349609375,0"""
1,677,twist,"""-315.05755615234375,1148.64013671875,128.03125""","""-17.926603317260742,-249.3564453125,0"""
1,679,byali g2a.com,"""-1751.4599609375,-863.0087280273438,0.03125""","""162.84222412109375,57.413108825683594,0"""
1,683,pashaBiceps g2a.com,"""-1887.977294921875,-940.865234375,0.03125""","""190.75828552246094,141.64495849609375,0"""
1,692,Lekr0,"""-299.8865966796875,1257.4619140625,76.39625549316406""","""-6.041073322296143,-249.927001953125,0"""
1,696,neo g2a.com,"""-1646.04833984375,-875.0706787109375,0.03125""","""243.47518920898438,16.270103454589844,0"""
1,702,dennis,"""-312.0066833496094,1180.8475341796875,127.47248840332031""","""-42.818138122558594,-241.5056610107422,0"""
1,702,wenton,"""-212.47401428222656,1101.5662841796875,0.03125""","""9.925033569335938,-244.79888916015625,0"""
1,702,TaZ g2a.com,"""-2150.76708984375,-425.501953125,-176.11343383789062""","""-26.3353328704834,248.60903930664062,0"""
1,702,Snax g2a.com,"""-3005.65869140625,-585.489990234375,11.864206314086914""","""-192.59014892578125,159.40211486816406,0"""
1,704,dennis,"""-312.6417541503906,1177.0596923828125,130.3417510986328""","""-40.645240783691406,-242.42794799804688,292.6183776855469"""
1,715,twist,"""-320.6921081542969,1074.6356201171875,128.03125""","""-17.87004852294922,-249.3605194091797,0"""
1,721,pashaBiceps g2a.com,"""-1821.205810546875,-912.8880004882812,0.03125""","""234.4576416015625,78.7097396850586,0"""
1,729,byali g2a.com,"""-1676.3792724609375,-883.9761962890625,0.03125""","""221.0608673095703,-77.64844512939453,0"""
1,730,Lekr0,"""-304.10845947265625,1183.399658203125,125.77108001708984""","""-26.58315658569336,-248.58265686035156,0"""
1,734,neo g2a.com,"""-1574.0609130859375,-864.950439453125,-11.96875""","""241.07241821289062,43.69306182861328,0"""
1,738,Lekr0,"""-306.131103515625,1167.991943359375,132.60342407226562""","""-40.284549713134766,-243.87237548828125,286.3683776855469"""
1,740,wenton,"""-225.71531677246094,1031.5614013671875,0.03125""","""-114.6835708618164,-211.9941864013672,0"""
1,740,TaZ g2a.com,"""-2158.402099609375,-351.6768493652344,-195.75289916992188""","""-25.356983184814453,248.71070861816406,0"""
1,740,Snax g2a.com,"""-3067.323486328125,-547.2619018554688,32.03125""","""-197.90623474121094,145.33447265625,0"""
1,753,twist,"""-318.96099853515625,1000.7013549804688,126.5277099609375""","""12.856142044067383,-245.18145751953125,-9.375"""
1,759,pashaBiceps g2a.com,"""-1764.2388916015625,-871.9548950195312,0.03125""","""134.00466918945312,159.36227416992188,0"""
1,765,olofmeister,"""-422.1459655761719,952.405029296875,16.03125""","""-155.29904174804688,-22.288129806518555,0"""
1,767,byali g2a.com,"""-1605.4825439453125,-899.7294921875,-11.96875""","""241.12071228027344,-49.68880081176758,0"""
1,772,neo g2a.com,"""-1502.76318359375,-850.5894775390625,-11.96875""","""239.29786682128906,52.550262451171875,0"""
1,778,wenton,"""-255.37998962402344,978.8673095703125,0.03125""","""-146.41165161132812,-141.74639892578125,0"""
1,778,TaZ g2a.com,"""-2166.183349609375,-277.8675842285156,-231.40211486816406""","""-27.67843246459961,248.4630889892578,0"""
1,778,Snax g2a.com,"""-3127.972412109375,-507.5910949707031,32.03125""","""-213.00335693359375,120.84970092773438,0"""
1,805,byali g2a.com,"""-1542.3751220703125,-933.1389770507812,-11.96875""","""223.399169921875,-96.60157012939453,0"""
1,809,pashaBiceps g2a.com,"""-1686.75,-857.6670532226562,0.03125""","""228.27745056152344,-27.346839904785156,0"""
1,810,neo g2a.com,"""-1439.419921875,-821.3646240234375,-16.785524368286133""","""219.7911834716797,98.04057312011719,0"""
1,816,TaZ g2a.com,"""-2175.13037109375,-204.19166564941406,-240.96875""","""-32.90442657470703,247.8251495361328,0"""
1,816,Snax g2a.com,"""-3180.767333984375,-458.47918701171875,32.03125""","""-132.64703369140625,210.5863494873047,0"""
1,817,olofmeister,"""-495.7213439941406,918.8916015625,16.03125""","""-164.85140991210938,-155.2667236328125,0"""
1,819,twist,"""-367.7405090332031,945.5306396484375,16.03125""","""-30.161598205566406,0,0"""
1,828,wenton,"""-336.13970947265625,942.0728149414062,8.031249046325684""","""-231.87754821777344,-3.6642909049987793,0"""
1,834,dennis,"""-390.715087890625,977.53369140625,16.03125""","""-272.09063720703125,0,0"""
1,843,byali g2a.com,"""-1474.430908203125,-958.6553955078125,-11.96875""","""204.1101531982422,-133.4073486328125,0"""
1,847,pashaBiceps g2a.com,"""-1614.0579833984375,-861.542724609375,-11.96875""","""249.95040893554688,-4.9800920486450195,0"""
1,848,neo g2a.com,"""-1369.6087646484375,-802.1624145507812,-24.62284278869629""","""241.52279663085938,41.1308479309082,0"""
1,850,Lekr0,"""-325.8406677246094,958.4429321289062,80.0625""","""-77.04695129394531,-139.9693603515625,0"""
1,854,TaZ g2a.com,"""-2174.986083984375,-132.37144470214844,-241.2799072265625""","""36.4224967956543,237.8643798828125,0"""
1,854,Snax g2a.com,"""-3213.6142578125,-392.900390625,20.48512077331543""","""-134.74400329589844,202.41818237304688,0"""
1,855,olofmeister,"""-552.2261962890625,877.041748046875,16.03125""","""-156.7048797607422,-178.81068420410156,0"""
1,881,byali g2a.com,"""-1414.3294677734375,-999.5242919921875,-28.681320190429688""","""207.83493041992188,-130.02114868164062,0"""
1,885,pashaBiceps g2a.com,"""-1544.219970703125,-846.8162841796875,-11.96875""","""244.32090759277344,40.11957550048828,0"""
1,886,dennis,"""-464.5322570800781,976.459228515625,16.03125""","""-213.98153686523438,-15.62239933013916,0"""
1,886,neo g2a.com,"""-1298.9874267578125,-802.1834106445312,-41.32159423828125""","""244.9952392578125,1.526831865310669,0"""
1,887,twist,"""-460.4585876464844,943.4786987304688,16.03125""","""-228.16465759277344,-38.98873519897461,0"""
1,892,TaZ g2a.com,"""-2176.087158203125,-58.95519256591797,-241.39794921875""","""-28.691194534301758,248.34817504882812,0"""
1,892,Snax g2a.com,"""-3237.012451171875,-323.92352294921875,0.03125""","""-33.81305694580078,247.7028045654297,0"""
1,893,olofmeister,"""-594.2394409179688,818.763916015625,16.03125""","""-101.06940460205078,-216.69422912597656,0"""
1,919,byali g2a.com,"""-1351.863525390625,-1036.911376953125,-47.479583740234375""","""211.95858764648438,-127.10311126708984,0"""
1,923,pashaBiceps g2a.com,"""-1470.8372802734375,-839.41162109375,-13.589370727539062""","""233.78887939453125,55.58980178833008,0"""
1,924,neo g2a.com,"""-1227.04248046875,-798.1491088867188,-60.71715545654297""","""237.50465393066406,-16.784732818603516,0"""
1,925,twist,"""-524.2265014648438,912.218017578125,16.03125""","""-194.5474090576172,-155.74942016601562,0"""
1,930,TaZ g2a.com,"""-2190.975830078125,13.196454048156738,-239.96875""","""-80.40323638916016,226.13119506835938,0"""
1,930,Snax g2a.com,"""-3241.0361328125,-249.85760498046875,-29.96875""","""-1.5899745225906372,249.9949493408203,0"""
1,931,olofmeister,"""-607.7704467773438,747.5069580078125,16.03125""","""-12.136855125427246,-249.70521545410156,0"""
1,936,dennis,"""-550.0106201171875,941.5689697265625,16.03125""","""-205.7662811279297,-141.9867706298828,0"""
1,954,Lekr0,"""-470.1758728027344,982.1289672851562,16.03125""","""-180.35487365722656,9.449134826660156,0"""
1,957,byali g2a.com,"""-1286.120361328125,-1067.95751953125,-63.286991119384766""","""226.1865997314453,-106.4876708984375,0"""
1,957,wenton,"""-415.01812744140625,935.7202758789062,16.03125""","""-214.52682495117188,-26.838916778564453,0"""
1,961,pashaBiceps g2a.com,"""-1401.0865478515625,-821.0802001953125,-23.38018798828125""","""243.05886840820312,44.271759033203125,0"""
1,962,neo g2a.com,"""-1156.718994140625,-804.1409912109375,-80.128662109375""","""227.20030212402344,-57.76633834838867,0"""
1,963,twist,"""-573.4148559570312,856.9276123046875,16.03125""","""-147.50108337402344,-201.8500213623047,0"""
